Top,node1,node2,Answer,colorChange
9689,3352,7015,1430,0
2432537,628991,885814,2432537,0
2432223,126683,137550,136584,0
28787,24031,34628,28787,0
2429906,2435382,2430014,2429995,0
8676,10441,11297,3742,0
152121,156214,153301,152121,0
9689,3869,7015,1430,0
11598,3869,5269,1430,0
937684,932185,930886,934348,0
2155263,2154107,2138350,2152875,0
11598,12100,1937,11598,0
2155263,2152875,2153444,2155263,0
2431687,203800,176215,203809,0
25749,31400,27182,25749,0
2431687,203945,197189,201051,0
9689,12820,4481,1430,0
2435587,1176727,1178634,1176401,0
2435309,870103,685588,2431638,0
413902,429779,428140,404240,0
9689,3352,7015,1430,1
2432537,628991,885814,2432537,1
2432223,126683,137550,136584,1
28787,24031,34628,28787,1
2429906,2435382,2430014,2429995,1
8676,10441,11297,3742,1
152121,156214,153301,152121,1
9689,3869,7015,1430,1
11598,3869,5269,1430,1
937684,932185,930886,934348,1
2155263,2154107,2138350,2152875,1
11598,12100,1937,11598,1
2155263,2152875,2153444,2155263,1
2431687,203800,176215,203809,1
25749,31400,27182,25749,1
2431687,203945,197189,201051,1
9689,12820,4481,1430,1
2435587,1176727,1178634,1176401,1
2435309,870103,685588,2431638,1
413902,429779,428140,404240,1
