Top,node1,Answer,colorChange
472458,333407,3,0
2432069,221862,3,0
2431687,176215,2,0
1134154,1136204,3,0
8676,3742,4,0
11598,1430,4,0
9689,12964,2,0
46061,47874,2,0
46061,37302,2,0
2430426,959656,2,0
35678,52649,1,0
9689,10806,2,0
2432119,1145088,2,0
37302,54382,4,0
2436259,2380511,3,0
8676,2947,3,0
2432069,289126,1,0
306929,449105,4,0
2434867,952615,1,0
9689,1430,4,0
472458,333407,3,1
2432069,221862,3,1
2431687,176215,2,1
1134154,1136204,3,1
8676,3742,4,1
11598,1430,4,1
9689,12964,2,1
46061,47874,2,1
46061,37302,2,1
2430426,959656,2,1
35678,52649,1,1
9689,10806,2,1
2432119,1145088,2,1
37302,54382,4,1
2436259,2380511,3,1
8676,2947,3,1
2432069,289126,1,1
306929,449105,4,1
2434867,952615,1,1
9689,1430,4,1
