Top,depth,Answer,colorChange
426719,3,402670,0
472458,2,333407,0
408384,2,446464,0
9689,4,3869,0
2431687,4,203945,0
2947,2,11598,0
306929,3,333407,0
2434867,2,946695,0
306929,3,333407,0
2431687,2,201051,0
2432119,3,1147569,0
11598,4,10333,0
212335,3,174290,0
8676,4,1430,0
2436156,2,2430925,0
2431687,3,213625,0
28787,4,27148,0
917164,2,937684,0
1194236,3,1208970,0
152121,2,157623,0
426719,3,402670,1
472458,2,333407,1
408384,2,446464,1
9689,4,3869,1
2431687,4,203945,1
2947,2,11598,1
306929,3,333407,1
2434867,2,946695,1
306929,3,333407,1
2431687,2,201051,1
2432119,3,1147569,1
11598,4,10333,1
212335,3,174290,1
8676,4,1430,1
2436156,2,2430925,1
2431687,3,213625,1
28787,4,27148,1
917164,2,937684,1
1194236,3,1208970,1
152121,2,157623,1
