Top,node1,node2,Answer,colorChange
9689,12964,10081,12964,0
28787,32032,26594,32032,0
322723,343821,475167,343821,0
8676,9427,4376,9427,0
1034361,1114959,1113317,1113317,0
2432069,290191,222288,290191,0
306929,408384,433224,408384,0
2432069,221988,290096,290096,0
2432223,134056,125603,125603,0
2431687,203800,176215,176215,0
1442257,1440490,1438431,1438431,0
28787,26594,32032,32032,0
23372,22470,23684,22470,0
2431687,203945,198386,203945,0
2155263,2153444,2152875,2152875,0
143851,144560,142499,144560,0
11598,10081,10806,10081,0
1076804,1110716,1025383,1110716,0
2436156,143504,1142527,143504,0
433224,407196,456141,407196,0
9689,12964,10081,12964,1
28787,32032,26594,32032,1
322723,343821,475167,343821,1
8676,9427,4376,9427,1
1034361,1114959,1113317,1113317,1
2432069,290191,222288,290191,1
306929,408384,433224,408384,1
2432069,221988,290096,290096,1
2432223,134056,125603,125603,1
2431687,203800,176215,176215,1
1442257,1440490,1438431,1438431,1
28787,26594,32032,32032,1
23372,22470,23684,22470,1
2431687,203945,198386,203945,1
2155263,2153444,2152875,2152875,1
143851,144560,142499,144560,1
11598,10081,10806,10081,1
1076804,1110716,1025383,1110716,1
2436156,143504,1142527,143504,1
433224,407196,456141,407196,1
